Nome do Medicamento,Validade,Valor,Fabricante
Amoxilina 20mg,27/09/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,29/11/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,20/08/2024,"R$ 9,69",Kenvue 
Amoxilina 20mg,09/08/2023,"R$ 9,69",Kenvue 
Amoxilina 20mg,18/11/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,09/05/2023,"R$ 9,69",Kenvue 
Amoxilina 20mg,07/10/2024,"R$ 9,69",Kenvue 
Amoxilina 20mg,01/02/2026,"R$ 9,69",Kenvue 
Amoxilina 20mg,22/06/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,28/07/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,27/05/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,27/02/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,30/12/2024,"R$ 9,69",Kenvue 
Amoxilina 20mg,02/09/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,20/04/2024,"R$ 9,69",Kenvue 
Amoxilina 20mg,01/07/2024,"R$ 9,69",Kenvue 
Amoxilina 20mg,17/08/2024,"R$ 9,69",
Amoxilina 20mg,19/04/2023,"R$ 9,69",Kenvue 
Amoxilina 20mg,20/09/2024,"R$ 9,69",Kenvue 
Amoxilina 20mg,10/06/2024,"R$ 9,69",Kenvue 
Amoxilina 20mg,07/09/2023,"R$ 9,69",Kenvue 
Amoxilina 20mg,13/04/2026,"R$ 9,69",Kenvue 
Amoxilina 20mg,27/07/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,31/03/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,07/04/2023,"R$ 9,69",Kenvue 
Amoxilina 20mg,11/04/2024,"R$ 9,69",Kenvue 
Amoxilina 20mg,19/05/2023,"R$ 9,69",Kenvue 
Amoxilina 20mg,23/12/2024,"R$ 9,69",Kenvue 
Amoxilina 20mg,17/11/2023,"R$ 9,69",Kenvue 
Amoxilina 20mg,04/02/2026,"R$ 9,69",Kenvue 
Amoxilina 20mg,10/07/2023,"R$ 9,69",Kenvue 
Amoxilina 20mg,03/04/2024,"R$ 9,69",Kenvue 
Amoxilina 20mg,23/04/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,03/01/2026,"R$ 9,69",Kenvue 
Amoxilina 20mg,08/11/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,10/06/2023,"R$ 9,69",Kenvue 
Amoxilina 20mg,17/11/2023,"R$ 9,69",Kenvue 
Amoxilina 20mg,23/11/2023,"R$ 9,69",Kenvue 
Amoxilina 20mg,24/10/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,01/06/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,09/04/2023,"R$ 9,69",Kenvue 
Amoxilina 20mg,21/02/2026,"R$ 9,69",Globo LTDA
Amoxilina 20mg,18/10/2023,"R$ 9,69",Kenvue 
Amoxilina 20mg,19/03/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,17/10/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,28/05/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,10/07/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,09/09/2023,"R$ 9,69",Globo LTDA
Amoxilina 20mg,01/12/2024,"R$ 9,69",Kenvue 
Amoxilina 20mg,11/01/2026,"R$ 9,69",Globo LTDA
Amoxilina 20mg,17/04/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,25/11/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,07/01/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,24/01/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,06/07/2023,"R$ 9,69",Kenvue 
Amoxilina 20mg,07/04/2026,"R$ 9,69",Globo LTDA
Amoxilina 20mg,09/04/2024,"R$ 9,69",Kenvue 
Amoxilina 20mg,15/02/2026,"R$ 9,69",Globo LTDA
Amoxilina 20mg,13/08/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,26/02/2026,"R$ 9,69",Globo LTDA
Amoxilina 20mg,19/03/2026,"R$ 9,69",Kenvue 
Amoxilina 20mg,16/10/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,17/05/2025,"R$ 9,69",Kenvue 
Amoxilina 20mg,13/06/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,22/05/2024,"R$ 9,69",Kenvue 
Amoxilina 20mg,25/07/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,09/04/2023,"R$ 9,69",Kenvue 
Amoxilina 20mg,29/11/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,14/06/2024,"R$ 9,69",Kenvue 
Amoxilina 20mg,11/06/2025,"R$ 9,69",Globo LTDA
Amoxilina 20mg,19/03/2024,"R$ 9,69",Kenvue 
Dipirona 1g,12/11/2023,"R$ 4,99",Bayer
Dipirona 1g,24/12/2024,"R$ 4,99",Bayer
Dipirona 1g,09/09/2023,"R$ 4,99",
Dipirona 1g,13/05/2024,"R$ 4,99",Bayer
Dipirona 1g,24/03/2024,"R$ 4,99",Bayer
Dipirona 1g,23/01/2025,"R$ 4,99",Bayer
Dipirona 1g,22/08/2024,"R$ 4,99",Bayer
Dipirona 1g,18/12/2023,"R$ 4,99",Bayer
Dipirona 1g,21/01/2024,"R$ 4,99",Bayer
Dipirona 1g,03/12/2025,"R$ 4,99",Bayer
Dipirona 1g,06/02/2025,"R$ 4,99",Bayer
Dipirona 1g,28/09/2024,"R$ 4,99",Bayer
Dipirona 1g,21/03/2024,"R$ 4,99",Bayer
Dipirona 1g,30/11/2023,"R$ 4,99",Bayer
Dipirona 1g,26/10/2025,"R$ 4,99",Bayer
Dipirona 1g,30/05/2024,"R$ 4,99",Bayer
Dipirona 1g,13/08/2023,"R$ 4,99",Bayer
Dipirona 1g,02/04/2025,"R$ 4,99",Bayer
Dipirona 1g,22/02/2026,"R$ 4,99",Bayer
Dipirona 1g,11/03/2024,"R$ 4,99",Bayer
Dipirona 1g,27/12/2024,"R$ 4,99",Bayer
Dipirona 1g,23/04/2023,"R$ 4,99",Bayer
Dipirona 1g,18/09/2024,"R$ 4,99",Bayer
Dipirona 1g,17/03/2024,"R$ 4,99",Bayer
Dipirona 1g,18/01/2024,"R$ 4,99",Bayer
Dipirona 1g,11/08/2024,"R$ 4,99",Bayer
Dipirona 1g,24/08/2025,"R$ 4,99",Bayer
Dipirona 1g,24/01/2024,"R$ 4,99",Bayer
Dipirona 1g,19/01/2026,"R$ 4,99",Bayer
Dipirona 1g,22/01/2025,"R$ 4,99",Bayer
Dipirona 1g,15/10/2023,"R$ 4,99",Bayer
Dipirona 1g,18/07/2025,"R$ 4,99",Bayer
Dipirona 1g,27/10/2025,"R$ 4,99",Bayer
Dipirona 1g,13/04/2025,"R$ 4,99",Bayer
Dipirona 1g,09/02/2024,"R$ 4,99",Bayer
Dipirona 1g,28/06/2024,"R$ 4,99",Bayer
Dipirona 1g,05/08/2024,"R$ 4,99",
Dipirona 1g,25/06/2025,"R$ 4,99",Bayer
Dipirona 1g,04/06/2024,"R$ 4,99",Bayer
Dipirona 1g,27/01/2025,"R$ 4,99",Bayer
Dipirona 1g,12/06/2025,"R$ 4,99",Bayer
Dipirona 1g,04/04/2026,"R$ 4,99",Bayer
Dipirona 1g,11/02/2025,"R$ 4,99",Bayer
Dipirona 1g,04/12/2025,"R$ 4,99",Bayer
Dipirona 1g,03/06/2023,"R$ 4,99",Bayer
Dipirona 1g,01/09/2025,"R$ 4,99",Bayer
Dipirona 1g,11/12/2025,"R$ 4,99",Bayer
Dipirona 1g,26/02/2025,"R$ 4,99",Bayer
Dipirona 1g,08/03/2025,"R$ 4,99",Bayer
Dipirona 1g,11/04/2024,"R$ 4,99",Bayer
Dipirona 1g,30/01/2026,"R$ 4,99",Bayer
Dipirona 1g,23/03/2025,"R$ 4,99",Bayer
Dipirona 1g,24/05/2025,"R$ 4,99",Bayer
Dipirona 1g,21/04/2025,"R$ 4,99",Bayer
Dipirona 1g,08/05/2023,"R$ 4,99",Bayer
Dipirona 1g,01/01/2024,"R$ 4,99",Bayer
Dipirona 1g,27/11/2023,"R$ 4,99",Bayer
Dipirona 1g,30/09/2025,"R$ 4,99",Bayer
Dipirona 1g,29/10/2025,"R$ 4,99",Bayer
Dipirona 1g,13/10/2024,"R$ 4,99",Bayer
Dipirona 1g,17/07/2024,"R$ 4,99",Bayer
Dipirona 1g,22/01/2024,"R$ 4,99",Bayer
Dipirona 1g,11/03/2024,"R$ 4,99",Bayer
Dipirona 1g,22/05/2023,"R$ 4,99",Bayer
Dipirona 1g,09/09/2025,"R$ 4,99",Bayer
Dipirona 1g,26/03/2026,"R$ 4,99",Bayer
Dipirona 1g,11/06/2025,"R$ 4,99",Bayer
Dipirona 1g,29/01/2025,"R$ 4,99",Farmanguinhos
Dipirona 1g,18/02/2026,"R$ 4,99",Farmanguinhos
Dipirona 1g,29/09/2024,"R$ 4,99",Farmanguinhos
Dipirona 1g,07/03/2026,"R$ 4,99",Farmanguinhos
Dipirona 1g,31/03/2023,"R$ 4,99",Farmanguinhos
Dipirona 1g,15/12/2023,"R$ 4,99",Farmanguinhos
Dipirona 1g,07/11/2023,"R$ 4,99",Farmanguinhos
Dipirona 1g,21/12/2023,"R$ 4,99",Farmanguinhos
Dipirona 1g,02/09/2023,"R$ 4,99",Farmanguinhos
Dipirona 1g,06/01/2025,"R$ 4,99",Farmanguinhos
Dipirona 1g,02/03/2024,"R$ 4,99",Farmanguinhos
Dipirona 1g,13/03/2026,"R$ 4,99",Farmanguinhos
Dipirona 1g,11/12/2024,"R$ 4,99",Farmanguinhos
Dipirona 1g,19/08/2023,"R$ 4,99",Farmanguinhos
Dipirona 1g,09/11/2023,"R$ 4,99",Farmanguinhos
Dipirona 1g,02/07/2023,"R$ 4,99",Farmanguinhos
Dipirona 1g,07/03/2026,"R$ 4,99",
Dipirona 1g,10/11/2024,"R$ 4,99",Farmanguinhos
Dipirona 1g,18/12/2023,"R$ 4,99",Farmanguinhos
Dipirona 1g,15/04/2025,"R$ 4,99",Farmanguinhos
Dipirona 1g,16/04/2023,"R$ 4,99",Farmanguinhos
Dipirona 1g,07/03/2024,"R$ 4,99",Farmanguinhos
Dipirona 1g,07/12/2025,"R$ 4,99",Farmanguinhos
Dipirona 1g,27/05/2025,"R$ 4,99",Farmanguinhos
Dipirona 1g,17/08/2023,"R$ 4,99",Farmanguinhos
Dipirona 1g,03/02/2026,"R$ 4,99",Farmanguinhos
Dipirona 1g,22/06/2024,"R$ 4,99",Farmanguinhos
Dipirona 1g,08/07/2025,"R$ 4,99",Farmanguinhos
Dipirona 1g,08/11/2025,"R$ 4,99",Farmanguinhos
Dipirona 1g,27/04/2024,"R$ 4,99",Farmanguinhos
Dipirona 1g,23/03/2026,"R$ 4,99",Farmanguinhos
Dipirona 1g,23/08/2024,"R$ 4,99",Farmanguinhos
Dipirona 1g,26/06/2025,"R$ 4,99",Farmanguinhos
Dipirona 1g,09/12/2023,"R$ 4,99",Farmanguinhos
Dipirona 1g,25/04/2023,"R$ 4,99",Farmanguinhos
Dipirona 1g,04/06/2024,"R$ 4,99",Farmanguinhos
Dipirona 1g,22/03/2026,"R$ 4,99",Farmanguinhos
Dipirona 1g,16/09/2024,"R$ 4,99",Farmanguinhos
Dipirona 1g,28/02/2024,"R$ 4,99",Farmanguinhos
Dipirona 1g,18/02/2025,"R$ 4,99",Farmanguinhos
Dipirona 1g,03/02/2025,"R$ 4,99",Farmanguinhos
Dipirona 1g,03/04/2025,"R$ 4,99",Farmanguinhos
Dipirona 1g,07/11/2025,"R$ 4,99",Farmanguinhos
Dipirona 1g,17/11/2025,"R$ 4,99",Farmanguinhos
Dipirona 1g,30/03/2026,"R$ 4,99",Farmanguinhos
Dipirona 1g,22/11/2023,"R$ 4,99",Farmanguinhos
Dipirona 1g,14/11/2024,"R$ 4,99",Farmanguinhos
Dipirona 1g,23/06/2023,"R$ 4,99",Farmanguinhos
Dipirona 1g,10/12/2024,"R$ 4,99",Farmanguinhos
Dipirona 1g,08/05/2023,"R$ 4,99",Farmanguinhos
Dipirona 1g,18/09/2023,"R$ 4,99",Farmanguinhos
Dipirona 1g,14/10/2025,"R$ 4,99",
Dipirona 1g,27/03/2026,"R$ 4,99",Farmanguinhos
Dipirona 1g,17/11/2024,"R$ 4,99",Farmanguinhos
Dipirona 1g,16/09/2025,"R$ 4,99",Farmanguinhos
Dipirona 1g,07/05/2025,"R$ 4,99",Farmanguinhos
Dipirona 1g,04/05/2024,"R$ 4,99",Farmanguinhos
Dipirona 1g,05/05/2023,"R$ 4,99",Farmanguinhos
Dipirona 1g,11/04/2023,"R$ 4,99",Farmanguinhos
Dipirona 1g,11/06/2023,"R$ 4,99",Farmanguinhos
Dipirona 1g,06/11/2024,"R$ 4,99",Farmanguinhos
Dipirona 1g,23/10/2024,"R$ 4,99",Farmanguinhos
Dipirona 1g,02/01/2025,"R$ 4,99",Farmanguinhos
Dipirona 1g,23/01/2025,"R$ 4,99",Farmanguinhos
Dipirona 1g,27/04/2025,"R$ 4,99",Farmanguinhos
Dipirona 1g,03/04/2025,"R$ 4,99",Farmanguinhos
Dipirona 1g,19/10/2023,"R$ 4,99",Farmanguinhos
Dipirona 1g,31/08/2024,"R$ 4,99",Pfizer
Dipirona 1g,30/04/2025,"R$ 4,99",Pfizer
Dipirona 1g,04/12/2024,"R$ 4,99",Pfizer
Dipirona 1g,11/10/2024,"R$ 4,99",Pfizer
Dipirona 1g,04/04/2026,"R$ 4,99",Pfizer
Dipirona 1g,17/11/2024,"R$ 4,99",Pfizer
Dipirona 1g,10/05/2025,"R$ 4,99",Pfizer
Dipirona 1g,18/08/2025,"R$ 4,99",Pfizer
Dipirona 1g,27/11/2024,"R$ 4,99",Pfizer
Dipirona 1g,11/04/2024,"R$ 4,99",Pfizer
Dipirona 1g,13/08/2025,"R$ 4,99",Pfizer
Dipirona 1g,26/04/2024,"R$ 4,99",Pfizer
Dipirona 1g,06/08/2023,"R$ 4,99",Pfizer
Dipirona 1g,03/07/2023,"R$ 4,99",Pfizer
Dipirona 1g,16/10/2023,"R$ 4,99",Pfizer
Dipirona 1g,10/08/2024,"R$ 4,99",Pfizer
Dipirona 1g,10/06/2025,"R$ 4,99",Pfizer
Dipirona 1g,02/12/2023,"R$ 4,99",Pfizer
Dipirona 1g,29/12/2023,"R$ 4,99",Pfizer
Dipirona 1g,06/09/2023,"R$ 4,99",Pfizer
Dipirona 1g,17/12/2024,"R$ 4,99",Pfizer
Dipirona 1g,21/08/2025,"R$ 4,99",Pfizer
Dipirona 1g,31/03/2024,"R$ 4,99",
Dipirona 1g,16/10/2025,"R$ 4,99",Pfizer
Dipirona 1g,04/08/2023,"R$ 4,99",Pfizer
Dipirona 1g,11/02/2024,"R$ 4,99",Pfizer
Dipirona 1g,17/01/2026,"R$ 4,99",Pfizer
Dipirona 1g,29/04/2023,"R$ 4,99",Pfizer
Dipirona 1g,07/05/2023,"R$ 4,99",Pfizer
Dipirona 1g,23/12/2023,"R$ 4,99",Pfizer
Dipirona 1g,03/06/2024,"R$ 4,99",Pfizer
Dipirona 1g,21/12/2024,"R$ 4,99",Pfizer
Dipirona 1g,13/06/2025,"R$ 4,99",
Dipirona 1g,17/06/2024,"R$ 4,99",Pfizer
Dipirona 1g,27/02/2025,"R$ 4,99",Pfizer
Dipirona 1g,11/03/2025,"R$ 4,99",Pfizer
Dipirona 1g,24/10/2023,"R$ 4,99",Pfizer
Dipirona 1g,27/01/2024,"R$ 4,99",Pfizer
Dipirona 1g,29/02/2024,"R$ 4,99",Pfizer
Dipirona 1g,10/04/2026,"R$ 4,99",Pfizer
Dipirona 1g,31/07/2023,"R$ 4,99",Pfizer
Dipirona 1g,08/10/2024,"R$ 4,99",Pfizer
Dipirona 1g,23/09/2024,"R$ 4,99",Pfizer
Dipirona 1g,15/01/2026,"R$ 4,99",Pfizer
Dipirona 1g,13/02/2024,"R$ 4,99",Pfizer
Dipirona 1g,16/04/2023,"R$ 4,99",Pfizer
Dipirona 1g,29/02/2024,"R$ 4,99",Pfizer
Dipirona 1g,19/05/2024,"R$ 4,99",Pfizer
Dipirona 1g,19/04/2023,"R$ 4,99",Pfizer
Dipirona 1g,25/03/2025,"R$ 4,99",Pfizer
Dipirona 1g,06/08/2024,"R$ 4,99",Pfizer
Dipirona 1g,19/02/2025,"R$ 4,99",Pfizer
Dipirona 1g,10/05/2025,"R$ 4,99",Pfizer
Dipirona 1g,24/07/2023,"R$ 4,99",Pfizer
Dipirona 1g,19/04/2025,"R$ 4,99",Pfizer
